Make,Models
Pontiac,"['G8' 'Sunfire' 'Grand Am' 'GTO' 'Firebird' 'Trans Sport' 'Vibe'
 'Bonneville' 'G6' 'Torrent' 'Grand Prix' 'Montana' 'Sunbird' 'Aztek'
 'LeMans' 'G5' 'G3' 'G6 (2009.5)' 'Solstice' 'Montana SV6']"
Porsche,"['Boxster' 'Panamera' 'Macan' '911' 'Cayenne' 'Cayman' 'Carrera GT'
 '718 Boxster' 'Taycan' '968' '928' 'Cayenne Coupe' '718 Cayman'
 '718 Spyder']"
Ram,"['3500 Crew Cab' '3500 Mega Cab' '2500 Regular Cab' '3500 Regular Cab'
 '2500 Mega Cab' '1500 Regular Cab' 'C/V Tradesman' '1500 Quad Cab'
 '2500 Crew Cab' '1500 Crew Cab' 'ProMaster City' 'C/V'
 'ProMaster 1500 Cargo' 'Dakota Extended Cab' 'ProMaster Window Van'
 'ProMaster Cargo Van' 'Dakota Crew Cab' '1500 Classic Crew Cab'
 '1500 Classic Quad Cab' 'ProMaster 3500 Cargo' '1500 Classic Regular Cab'
 'ProMaster 2500 Cargo']"
Rivian,['R1T' 'R1S']
Rolls-Royce,['Ghost' 'Phantom' 'Wraith' 'Dawn']
SRT,['Viper']
Saab,['900' '05-Sep' '9-7X' '03-Sep' '9000' '9-2X' '9-4X']
Saturn,['Aura' 'S-Series' 'L-Series' 'VUE' 'Outlook' 'Relay' 'Ion' 'SKY' 'Astra']
Scion,['xB' 'xD' 'iQ' 'tC' 'iM' 'FR-S' 'iA' 'xA']
Subaru,"['Legacy' 'Baja' 'Tribeca' 'Forester' 'Impreza' 'WRX' 'SVX' 'Outback'
 'BRZ' 'XV Crosstrek' 'Loyale' 'Justy' 'Crosstrek' 'B9 Tribeca' 'Ascent']"
Suzuki,"['Forenza' 'Vitara' 'Grand Vitara' 'Samurai' 'Reno' 'Verona' 'Sidekick'
 'Aerio' 'Esteem' 'XL-7' 'X-90' 'SX4' 'Equator Crew Cab'
 'Equator Extended Cab' 'Swift' 'Kizashi' 'XL7']"
Tesla,['Model S' 'Model X' 'Model 3']
Toyota,"['Sequoia' 'Camry' 'Yaris' 'Tacoma Double Cab' 'Xtra Cab' 'RAV4' 'Avalon'
 'Tercel' 'Prius' 'Highlander' 'Tacoma Xtracab' 'Tundra Regular Cab'
 'Corolla iM' 'T100 Xtracab' '4Runner' 'Sienna' 'RAV4 Hybrid' 'Corolla'
 'Tacoma Access Cab' 'Matrix' 'Land Cruiser' 'Regular Cab'
 'Tacoma Regular Cab' 'Previa' 'Venza' 'Supra' 'Yaris Hatchback'
 'Tundra Double Cab' 'Tundra CrewMax' '86' 'Echo' 'Prius Prime' 'GR Supra'
 'Celica' 'MR2' 'Mirai' 'FJ Cruiser' 'Prius v' 'C-HR'
 'Prius Plug-in Hybrid' 'Prius c' 'RAV4 Prime' 'Camry Hybrid' 'Solara'
 'Highlander Hybrid' 'Paseo' 'Tundra Access Cab' 'Yaris iA'
 'T100 Regular Cab' 'Avalon Hybrid' 'Corolla Hatchback' 'Corolla Hybrid'
 'Cressida']"
Volkswagen,"['Passat' 'Eos' 'Atlas Cross Sport' 'GTI' 'Golf SportWagen' 'Touareg'
 'Tiguan' 'Golf Alltrack' 'Jetta' 'Fox' 'Passat (New)' 'Golf' 'Golf GTI'
 'CC' 'Cabrio' 'Beetle' 'New Beetle' 'Cabriolet' 'GLI' 'Jetta III'
 'Phaeton' 'Jetta GLI' 'Jetta SportWagen' 'Arteon' 'Routan' 'Golf III'
 'e-Golf' 'Golf R' 'Cabrio (New)' 'Eurovan' 'Jetta (New)' 'Corrado'
 'Tiguan Limited' 'Rabbit' 'Touareg 2' 'R32' 'Atlas' 'GTI (New)'
 'Golf (New)']"
Volvo,"['V70' 'XC70' 'S60' 'S80' 'C70' 'XC40' 'XC90' 'S70' 'S40' 'XC60' 'S90'
 '240' 'C30' 'V60' '960' 'V90' '940' '740' 'V50' '850' 'V40' 'S40 (New)']"
smart,"['fortwo electric drive' 'fortwo' 'fortwo cabrio'
 'fortwo electric drive cabrio']"
